Location,TimeFrame,COLLEGE_GRAD_PCT
Nelson,2017-2018,0.69
Nicholas,2011-2012,0.3
Nicholas,2012-2013,0.13
Nicholas,2013-2014,0.38
Nicholas,2014-2015,0.3
Nicholas,2015-2016,0.48
Nicholas,2016-2017,0.53
Nicholas,2017-2018,0.67
Ohio,2011-2012,0.55
Ohio,2012-2013,0.57
Ohio,2013-2014,0.49
Ohio,2014-2015,0.57
Ohio,2015-2016,0.51
Ohio,2016-2017,0.4
Ohio,2017-2018,0.62
Oldham,2011-2012,0.53
Oldham,2012-2013,0.58
Oldham,2013-2014,0.58
Oldham,2014-2015,0.57
Oldham,2015-2016,0.6
Oldham,2016-2017,0.58
Oldham,2017-2018,0.6
Owen,2011-2012,0.35
Owen,2012-2013,0.08
Owen,2013-2014,0.39
Owen,2014-2015,0.28
Owen,2015-2016,0.5
Owen,2016-2017,0.53
Owen,2017-2018,0.59
Owsley,2011-2012,0
Owsley,2012-2013,0.67
Owsley,2013-2014,0.38
Owsley,2014-2015,0.5
Owsley,2015-2016,0.5
Owsley,2016-2017,0.67
Owsley,2017-2018,0.33
Pendleton,2011-2012,0.37
Pendleton,2012-2013,0.39
Pendleton,2013-2014,0.45
Pendleton,2014-2015,0.58
Pendleton,2015-2016,0.41
Pendleton,2016-2017,0.44
Pendleton,2017-2018,0.49
Perry,2011-2012,0.33
Perry,2012-2013,0.59
Perry,2013-2014,0.55
Perry,2014-2015,0.62
Perry,2015-2016,0.53
Perry,2016-2017,0.58
Perry,2017-2018,0.51
Pike,2011-2012,0.52
Pike,2012-2013,0.43
Pike,2013-2014,0.48
Pike,2014-2015,0.44
Pike,2015-2016,0.51
Pike,2016-2017,0.49
Pike,2017-2018,0.53
Powell,2011-2012,0.41
Powell,2012-2013,0.24
Powell,2013-2014,0.27
Powell,2014-2015,0.35
Powell,2015-2016,0.39
Powell,2016-2017,0.29
Powell,2017-2018,0.44
Pulaski,2011-2012,0.61
Pulaski,2012-2013,0.57
Pulaski,2013-2014,0.52
Pulaski,2014-2015,0.61
Pulaski,2015-2016,0.57
Pulaski,2016-2017,0.61
