Location,Age group,TimeFrame,CHILD_POP_CNT,,
Owen,0-17,2016,2409,,
Owen,0-17,2017,2385,,
Owsley,0-17,2011,1095,,
Owsley,0-17,2012,1076,,
Owsley,0-17,2013,1002,,
Owsley,0-17,2014,945,,
Owsley,0-17,2015,954,,
Owsley,0-17,2016,985,,
Owsley,0-17,2017,961,,
Pendleton,0-17,2011,3533,,
Pendleton,0-17,2012,3452,,
Pendleton,0-17,2013,3338,,
Pendleton,0-17,2014,3261,,
Pendleton,0-17,2015,3221,,
Pendleton,0-17,2016,3333,,
Pendleton,0-17,2017,3292,,
Perry,0-17,2011,6276,,
Perry,0-17,2012,6282,,
Perry,0-17,2013,6065,,
Perry,0-17,2014,5929,,
Perry,0-17,2015,6064,,
Perry,0-17,2016,6059,,
Perry,0-17,2017,6060,,
Pike,0-17,2011,14139,,
Pike,0-17,2012,13851,,
Pike,0-17,2013,13474,,
Pike,0-17,2014,13208,,
Pike,0-17,2015,13066,,
Pike,0-17,2016,12526,,
Pike,0-17,2017,12159,,
Powell,0-17,2011,3108,,
Powell,0-17,2012,3079,,
Powell,0-17,2013,2990,,
Powell,0-17,2014,2964,,
Powell,0-17,2015,2909,,
Powell,0-17,2016,2960,,
Powell,0-17,2017,2992,,
Pulaski,0-17,2011,14407,,
Pulaski,0-17,2012,14392,,
Pulaski,0-17,2013,14621,,
Pulaski,0-17,2014,14462,,
Pulaski,0-17,2015,14325,,
Pulaski,0-17,2016,14289,,
Pulaski,0-17,2017,14451,,
Robertson,0-17,2011,455,,
Robertson,0-17,2012,409,,
Robertson,0-17,2013,456,,
Robertson,0-17,2014,436,,
Robertson,0-17,2015,415,,
Robertson,0-17,2016,425,,
Robertson,0-17,2017,453,,
Rockcastle,0-17,2011,3955,,
Rockcastle,0-17,2012,3904,,
Rockcastle,0-17,2013,3671,,
Rockcastle,0-17,2014,3710,,
Rockcastle,0-17,2015,3721,,
Rockcastle,0-17,2016,3680,,
Rockcastle,0-17,2017,3629,,
Rowan,0-17,2011,4572,,
Rowan,0-17,2012,4517,,
Rowan,0-17,2013,4536,,
Rowan,0-17,2014,4562,,
Rowan,0-17,2015,4760,,
Rowan,0-17,2016,4623,,
Rowan,0-17,2017,4649,,
Russell,0-17,2011,3891,,
Russell,0-17,2012,3869,,
Russell,0-17,2013,3952,,
Russell,0-17,2014,3981,,
Russell,0-17,2015,3952,,
Russell,0-17,2016,4003,,
Russell,0-17,2017,4019,,
Scott,0-17,2011,12766,,
Scott,0-17,2012,12897,,
Scott,0-17,2013,12950,,
Scott,0-17,2014,13231,,
Scott,0-17,2015,13425,,
Scott,0-17,2016,13614,,
Scott,0-17,2017,13991,,
Shelby,0-17,2011,10676,,
Shelby,0-17,2012,10837,,
Shelby,0-17,2013,10778,,
Shelby,0-17,2014,10826,,
Shelby,0-17,2015,10944,,
Shelby,0-17,2016,11102,,
Shelby,0-17,2017,11059,,
Simpson,0-17,2011,4198,,
Simpson,0-17,2012,4246,,
Simpson,0-17,2013,4397,,
Simpson,0-17,2014,4300,,
Simpson,0-17,2015,4378,,
Simpson,0-17,2016,4389,,
Simpson,0-17,2017,4381,,
Spencer,0-17,2011,4402,,
Spencer,0-17,2012,4342,,
Spencer,0-17,2013,4308,,
Spencer,0-17,2014,4208,,
Spencer,0-17,2015,4207,,
Spencer,0-17,2016,4302,,
Spencer,0-17,2017,4284,,
Taylor,0-17,2011,5481,,
Taylor,0-17,2012,5462,,
Taylor,0-17,2013,5500,,
Taylor,0-17,2014,5576,,
Taylor,0-17,2015,5703,,
Taylor,0-17,2016,5644,,
Taylor,0-17,2017,5698,,
Todd,0-17,2011,3395,,
Todd,0-17,2012,3408,,
Todd,0-17,2013,3353,,
Todd,0-17,2014,3406,,
Todd,0-17,2015,3406,,
Todd,0-17,2016,3273,,
Todd,0-17,2017,3286,,
Trigg,0-17,2011,3134,,
Trigg,0-17,2012,3184,,
Trigg,0-17,2013,3136,,
Trigg,0-17,2014,3068,,
