Location,TimeFrame,LOW_BIRTH_WEIGHT_PCT
Powell,2015-2017,0.094
Powell,2016-2018,0.088
Pulaski,2008-2010,0.084
Pulaski,2009-2011,0.085
Pulaski,2010-2012,0.082
Pulaski,2011-2013,0.074
Pulaski,2012-2014,0.069
Pulaski,2013-2015,0.077
Pulaski,2014-2016,0.0822
Pulaski,2015-2017,0.09
Pulaski,2016-2018,0.087
Robertson,2008-2010,*
Robertson,2009-2011,0.086
Robertson,2010-2012,0.095
Robertson,2011-2013,0.141
Robertson,2012-2014,0.119
Robertson,2013-2015,0.129
Robertson,2014-2016,0.09091
Robertson,2015-2017,*
Robertson,2016-2018,*
Rockcastle,2008-2010,0.092
Rockcastle,2009-2011,0.11
Rockcastle,2010-2012,0.121
Rockcastle,2011-2013,0.135
Rockcastle,2012-2014,0.121
Rockcastle,2013-2015,0.11
Rockcastle,2014-2016,0.10517
Rockcastle,2015-2017,0.104
Rockcastle,2016-2018,0.098
