Location,TimeFrame,CHILD_POVERTY_PCT
Hart,2016,30.1
Hart,2017,26.2
Hart,2018,28.5
Henderson,1997,18.9
Henderson,1998,19
Henderson,1999,18.5
Henderson,2000,17.6
Henderson,2001,17.1
Henderson,2002,17.8
Henderson,2003,18.8
Henderson,2004,19.8
Henderson,2005,20
Henderson,2006,20.1
Henderson,2007,19.3
Henderson,2008,20.9
Henderson,2009,26.2
Henderson,2010,22.4
Henderson,2011,24.4
Henderson,2012,25.8
Henderson,2013,28.1
Henderson,2014,27.2
Henderson,2015,24.2
Henderson,2016,24.9
Henderson,2017,20.6
Henderson,2018,21.6
Henry,1997,22.4
Henry,1998,20.3
Henry,1999,18.8
Henry,2000,16.4
Henry,2001,17
Henry,2002,17.3
Henry,2003,17.9
Henry,2004,18.4
Henry,2005,20
Henry,2006,20.1
Henry,2007,21.6
Henry,2008,22
Henry,2009,22.8
Henry,2010,25.3
Henry,2011,28.1
Henry,2012,26.3
Henry,2013,23.2
Henry,2014,25.7
Henry,2015,26.5
Henry,2016,30.7
Henry,2017,20.3
Henry,2018,21.7
Hickman,1997,24.3
Hickman,1998,22.4
Hickman,1999,23.9
Hickman,2000,27.7
Hickman,2001,25.2
Hickman,2002,21.3
Hickman,2003,21.9
Hickman,2004,23.9
Hickman,2005,27
Hickman,2006,27.3
Hickman,2007,28.7
Hickman,2008,27.5
Hickman,2009,29.5
Hickman,2010,30.7
Hickman,2011,29
Hickman,2012,30.4
Hickman,2013,30.5
Hickman,2014,29.3
Hickman,2015,29.9
Hickman,2016,32.9
Hickman,2017,27.6
Hickman,2018,27.8
Hopkins,1997,24.8
Hopkins,1998,23
Hopkins,1999,23
Hopkins,2000,24.7
Hopkins,2001,22.5
Hopkins,2002,23
Hopkins,2003,22.8
Hopkins,2004,24.4
Hopkins,2005,27
Hopkins,2006,24.7
Hopkins,2007,26.7
Hopkins,2008,26.5
Hopkins,2009,30.3
Hopkins,2010,29.5
Hopkins,2011,29.2
Hopkins,2012,26.4
Hopkins,2013,26.4
Hopkins,2014,24.9
Hopkins,2015,26.6
Hopkins,2016,24.3
Hopkins,2017,25.2
Hopkins,2018,23.6
