Location,TimeFrame,SMOKING_MOM_PCT
Monroe,2013-2015,0.234
Monroe,2014-2016,0.261
Monroe,2015-2017,0.267
Monroe,2016-2018,0.257
Montgomery,2008-2010,0.273
Montgomery,2009-2011,0.237
Montgomery,2010-2012,0.212
Montgomery,2011-2013,0.224
Montgomery,2012-2014,0.237
Montgomery,2013-2015,0.251
Montgomery,2014-2016,0.23
Montgomery,2015-2017,0.215
Montgomery,2016-2018,0.209
Morgan,2008-2010,0.342
Morgan,2009-2011,0.305
Morgan,2010-2012,0.297
Morgan,2011-2013,0.275
Morgan,2012-2014,0.29
Morgan,2013-2015,0.287
Morgan,2014-2016,0.294
Morgan,2015-2017,0.288
Morgan,2016-2018,0.279
Muhlenberg,2008-2010,0.342
Muhlenberg,2009-2011,0.297
Muhlenberg,2010-2012,0.29
Muhlenberg,2011-2013,0.269
Muhlenberg,2012-2014,0.253
Muhlenberg,2013-2015,0.226
Muhlenberg,2014-2016,0.211
Muhlenberg,2015-2017,0.208
Muhlenberg,2016-2018,0.19
Nelson,2008-2010,0.229
Nelson,2009-2011,0.198
Nelson,2010-2012,0.209
Nelson,2011-2013,0.205
Nelson,2012-2014,0.206
Nelson,2013-2015,0.187
Nelson,2014-2016,0.176
Nelson,2015-2017,0.192
Nelson,2016-2018,0.184
Nicholas,2008-2010,0.359
Nicholas,2009-2011,0.342
Nicholas,2010-2012,0.348
Nicholas,2011-2013,0.323
Nicholas,2012-2014,0.302
Nicholas,2013-2015,0.296
Nicholas,2014-2016,0.303
Nicholas,2015-2017,0.314
Nicholas,2016-2018,0.26
Ohio,2008-2010,0.246
Ohio,2009-2011,0.24
Ohio,2010-2012,0.247
Ohio,2011-2013,0.236
Ohio,2012-2014,0.241
Ohio,2013-2015,0.215
Ohio,2014-2016,0.189
Ohio,2015-2017,0.158
Ohio,2016-2018,0.139
Oldham,2008-2010,0.131
Oldham,2009-2011,0.095
Oldham,2010-2012,0.093
Oldham,2011-2013,0.086
Oldham,2012-2014,0.1
Oldham,2013-2015,0.089
Oldham,2014-2016,0.081
Oldham,2015-2017,0.09
