Location,TimeFrame,CHILD_DEEP_POV_PCT
Logan,2013-2017,0.09
Logan,2014-2018,0.1
Lyon,2005-2009,S
Lyon,2006-2010,S
Lyon,2007-2011,0.21
Lyon,2008-2012,0.22
Lyon,2009-2013,0.21
Lyon,2010-2014,0.14
Lyon,2011-2015,0.11
Lyon,2012-2016,S
Lyon,2013-2017,S
Lyon,2014-2018,S
McCracken,2005-2009,0.12
McCracken,2006-2010,0.11
McCracken,2007-2011,0.1
McCracken,2008-2012,0.11
McCracken,2009-2013,0.11
McCracken,2010-2014,0.14
McCracken,2011-2015,0.13
McCracken,2012-2016,0.15
McCracken,2013-2017,0.12
McCracken,2014-2018,0.12
McCreary,2005-2009,0.2
McCreary,2006-2010,0.16
McCreary,2007-2011,0.12
McCreary,2008-2012,0.18
McCreary,2009-2013,0.19
McCreary,2010-2014,0.25
McCreary,2011-2015,0.31
McCreary,2012-2016,0.33
McCreary,2013-2017,0.31
McCreary,2014-2018,0.26
McLean,2005-2009,0.12
McLean,2006-2010,0.13
McLean,2007-2011,0.15
McLean,2008-2012,0.17
McLean,2009-2013,0.12
McLean,2010-2014,0.13
McLean,2011-2015,0.15
McLean,2012-2016,0.1
McLean,2013-2017,0.14
McLean,2014-2018,0.14
Madison,2005-2009,0.09
Madison,2006-2010,0.09
Madison,2007-2011,0.09
Madison,2008-2012,0.08
Madison,2009-2013,0.1
Madison,2010-2014,0.09
Madison,2011-2015,0.09
Madison,2012-2016,0.08
Madison,2013-2017,0.07
Madison,2014-2018,0.07
Magoffin,2005-2009,0.25
Magoffin,2006-2010,0.24
Magoffin,2007-2011,0.26
Magoffin,2008-2012,0.29
Magoffin,2009-2013,0.22
Magoffin,2010-2014,0.21
Magoffin,2011-2015,0.2
Magoffin,2012-2016,0.24
Magoffin,2013-2017,0.22
Magoffin,2014-2018,0.2
Marion,2005-2009,0.17
Marion,2006-2010,0.15
Marion,2007-2011,0.15
Marion,2008-2012,0.17
Marion,2009-2013,0.17
Marion,2010-2014,0.15
Marion,2011-2015,0.16
Marion,2012-2016,0.12
Marion,2013-2017,0.09
Marion,2014-2018,0.1
Marshall,2005-2009,0.07
Marshall,2006-2010,0.07
Marshall,2007-2011,0.09
Marshall,2008-2012,S
Marshall,2009-2013,0.09
Marshall,2010-2014,0.09
Marshall,2011-2015,0.08
Marshall,2012-2016,0.07
Marshall,2013-2017,0.06
Marshall,2014-2018,0.07
Martin,2005-2009,0.29
Martin,2006-2010,0.21
Martin,2007-2011,0.25
Martin,2008-2012,0.21
Martin,2009-2013,0.25
Martin,2010-2014,0.25
Martin,2011-2015,0.21
Martin,2012-2016,0.16
Martin,2013-2017,0.21
Martin,2014-2018,0.14
Mason,2005-2009,0.1
Mason,2006-2010,0.11
Mason,2007-2011,0.1
Mason,2008-2012,0.11
Mason,2009-2013,0.12
Mason,2010-2014,0.13
Mason,2011-2015,0.08
Mason,2012-2016,0.08
Mason,2013-2017,0.12
Mason,2014-2018,0.11
Meade,2005-2009,0.07
Meade,2006-2010,0.05
Meade,2007-2011,0.08
Meade,2008-2012,0.09
Meade,2009-2013,0.11
Meade,2010-2014,0.1
Meade,2011-2015,0.11
Meade,2012-2016,0.1
Meade,2013-2017,0.09
Meade,2014-2018,0.09
Menifee,2005-2009,0.11
Menifee,2006-2010,S
Menifee,2007-2011,0.32
Menifee,2008-2012,0.34
